Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-23 05:00:00,1115392.1853502814,1115933.5684811014,1086971.1602562254,1086780.96144301,1102459.9135076236,1113496.1203986316,1115476.932158241,1103530.7505841507
2019-07-23 06:00:00,1139632.5492428883,1145643.6721161045,1114799.3823054873,1112935.342661592,1127763.9304438522,1137008.0158387711,1135251.820006175,1121834.0440272028
2019-07-23 07:00:00,1194657.8668896894,1209865.7893222768,1179592.7197102227,1176836.0505258308,1185392.9452301264,1186751.458269092,1182890.8358969777,1169360.0793243097
2019-07-23 08:00:00,1277215.3020860525,1297109.83607687,1269885.2271104148,1267365.1589237228,1265747.1953947495,1263505.634791952,1271240.6783642196,1254812.0274203785
2019-07-23 09:00:00,1370652.3528851292,1380229.9427912368,1356946.665585966,1355697.9319931213,1344334.6521769357,1343560.1210661652,1371062.1567410722,1349368.9882907777
2019-07-23 10:00:00,1431248.4523814325,1432885.9696111686,1412670.7540214919,1413376.437642173,1396765.032743861,1394069.0129359614,1430831.8029371242,1408136.668177612
2019-07-23 11:00:00,1444755.0056858147,1446669.2611112462,1428224.3101653513,1431340.3440628636,1414706.9115357967,1407732.2401183886,1445820.0771144615,1423259.182471608
2019-07-23 12:00:00,1436071.8533857414,1434625.6944150077,1417695.6720689076,1423723.5404282333,1409469.5081046224,1401032.0638975254,1435242.6253537915,1415725.4454688048
2019-07-23 13:00:00,1423551.0406336677,1418464.6374270068,1403922.5515045922,1413388.1620281073,1400452.9641256211,1392520.2926005665,1423482.450079857,1407138.691282616
2019-07-23 14:00:00,1416675.56653337,1410823.0436008628,1399274.8415918173,1412247.9493335008,1398827.8814963768,1390648.3129739307,1416084.2719147587,1404825.5127193858
2019-07-23 15:00:00,1415462.1173874268,1407616.902426754,1397959.1694523697,1413476.158574512,1400384.4367061728,1394623.0224857808,1416649.281053438,1408494.5044288726
2019-07-23 16:00:00,1412194.749134519,1395658.8265338962,1385151.7097269641,1401154.563442738,1392498.386911408,1393760.3012735131,1416509.82273725,1407246.1838879478
