Time,Prophet 30d,CB Model 30d,Prophet 60d,LR Model 240d,LR Model 30d,LR Model 60d,LR Model 120d,Prophet 120d,Theta 30d,Theta 60d,Theta 120d,Theta 240d,CB Model 60d,CB Model 240d,CB Model 120d,Prophet 240d
2019-11-25 21:00:00,1178218.1650527606,1207921.1165742564,1159547.7691590728,1165306.4984496234,1164564.309871507,1162716.5311566184,1163442.3662776132,1148145.2111872775,1005863.1433411253,1006049.7933994264,1007216.0048726902,1005965.3226782831,1189681.2989175383,1176974.6956311846,1182086.955771691,1147309.7675373694
2019-11-25 22:00:00,1139205.7686025721,1163863.3540489934,1125566.8531890195,1127052.7511332869,1125846.8801165044,1123963.3512608036,1124930.4156963811,1114538.6934656557,980643.3878827698,980585.1555118527,981868.9713932012,980578.6206382681,1149729.7442753497,1140304.0952895635,1145882.1382379385,1121165.348254484
2019-11-25 23:00:00,1101988.0468207132,1129051.061489687,1090202.9066162468,1093135.4689300081,1091771.3543009395,1089749.9574037034,1090797.3899736954,1082384.7125724533,955194.0599479466,954939.7162851867,956545.5785237798,955786.7507080487,1112762.063725402,1105380.375482685,1111290.0813766788,1088157.1234894418
2019-11-26 00:00:00,1065572.2151182308,1083588.0618770174,1062627.0540749223,1050882.1576230912,1048763.5746128096,1047294.7055136136,1048178.2675119682,1051684.7604870847,1057320.334150301,1057060.301773351,1059222.127500832,1058531.568529891,1069348.9298448134,1068400.239645072,1069919.9579152172,1056891.3089114237
2019-11-26 01:00:00,1049079.6242829429,1050706.9508818616,1048013.2648250113,1027483.5163259269,1025650.6447447849,1024105.7667558414,1024683.3354509819,1032836.1850329083,1034061.1105026421,1033869.6628466677,1035449.2713075766,1034772.5561783172,1040200.8217223595,1038496.0439423199,1038409.8156662375,1026445.5668348795
2019-11-26 02:00:00,1032498.1173490143,1023930.9128931448,1026930.4507283698,1005486.619340063,1004342.5451370649,1002632.6483116931,1002494.6813545866,1014656.559727823,1016000.123593377,1015740.4965867626,1016809.7666408122,1015811.9151439681,1015451.2643363535,1015840.8296455746,1015512.5715847497,1010495.4585521523
2019-11-26 03:00:00,1023648.6253511294,1009959.052560119,1016167.7090658586,992148.7054803994,991573.082609087,989705.1949107414,988962.0761331798,1004945.9689928883,1003433.2603928094,1003218.5030192765,1003976.3005047482,1003174.9637502453,1000854.2082933204,1001712.2959010492,1001215.7743426138,998804.8993171757
2019-11-26 04:00:00,1010723.6415818972,1004596.1180266184,1005764.6735933569,989457.035019245,989420.043663911,987451.8780427845,986179.2785949854,994284.0046897907,998442.7711210398,998307.6342547855,998725.4554636606,998165.2562500221,996465.493575775,999037.0529068762,999422.4631641572,989290.2740343944
2019-11-26 05:00:00,1023004.8252830054,1013434.1394326189,1015965.616045319,1002472.4908233242,1003046.0064489614,1000989.7647080262,999270.9570198256,1004759.9192800691,1005149.4350890773,1005124.8399216789,1005542.3145086453,1005440.307337179,1009166.3705503459,1008161.7891395702,1007927.9836447535,997324.5267235569
2019-11-26 06:00:00,1039317.0166857857,1042925.9326937245,1037404.1717153017,1033914.4186282291,1035438.9028505714,1033186.2519838541,1031039.5486699803,1028377.8666044092,1025058.7356732534,1025334.4543331399,1025483.047891914,1025050.905562096,1035016.252090819,1032366.6679897348,1037173.5412847685,1020798.3453485185
