Time,Prophet_optimized
2018-01-30 22:00:00,1117206.8476201645
2018-01-30 23:00:00,1076476.8856002612
2018-01-31 00:00:00,1036984.003698734
2018-01-31 01:00:00,1018609.5208971951
2018-01-31 02:00:00,999563.7181333924
2018-01-31 03:00:00,983028.3889127416
2018-01-31 04:00:00,984810.4219698078
2018-01-31 05:00:00,1001961.1382847811
2018-01-31 06:00:00,1034416.1460408764
2018-01-31 07:00:00,1084659.4077756882
2018-01-31 08:00:00,1178897.6620698958
2018-01-31 09:00:00,1277782.3708516872
2018-01-31 10:00:00,1326657.07579562
2018-01-31 11:00:00,1343405.8025128013
2018-01-31 12:00:00,1356669.6730285862
2018-01-31 13:00:00,1356088.4948606787
2018-01-31 14:00:00,1364334.416103772
2018-01-31 15:00:00,1364960.9184097438
2018-01-31 16:00:00,1348181.47150348
2018-01-31 17:00:00,1320290.923830704
2018-01-31 18:00:00,1292207.2220993289
2018-01-31 19:00:00,1242114.5761755207
2018-01-31 20:00:00,1197743.2197567269
2018-01-31 21:00:00,1172308.5876936102
2018-01-31 22:00:00,1143878.920714613
2018-01-31 23:00:00,1097705.0054066775
2018-02-01 00:00:00,1051319.5062555436
2018-02-01 01:00:00,1030097.685343553
2018-02-01 02:00:00,1007553.9255635064
2018-02-01 03:00:00,1000008.7034632828
2018-02-01 04:00:00,993135.7448135598
2018-02-01 05:00:00,1008643.7791531839
2018-02-01 06:00:00,1052433.1726440112
2018-02-01 07:00:00,1098269.427204314
2018-02-01 08:00:00,1172976.267084282
2018-02-01 09:00:00,1272245.6515566902
2018-02-01 10:00:00,1309376.6721680912
2018-02-01 11:00:00,1319751.5910441855
2018-02-01 12:00:00,1338972.5566364543
2018-02-01 13:00:00,1337142.362092499
2018-02-01 14:00:00,1344503.6892509072
2018-02-01 15:00:00,1340142.9719158588
2018-02-01 16:00:00,1329747.4130879727
2018-02-01 17:00:00,1309425.2116319954
2018-02-01 18:00:00,1266824.484554127
2018-02-01 19:00:00,1221495.7393302184
2018-02-01 20:00:00,1177503.1629280997
2018-02-01 21:00:00,1144960.556214578
2018-02-01 22:00:00,1110975.8226468829
2018-02-01 23:00:00,1070029.298296543
2018-02-02 00:00:00,1032569.5171200876
2018-02-02 01:00:00,1027792.9605149688
2018-02-02 02:00:00,1004117.2675660545
2018-02-02 03:00:00,995683.4450255127
2018-02-02 04:00:00,983745.7479935206
2018-02-02 05:00:00,993571.9692709849
2018-02-02 06:00:00,1020807.1580245681
2018-02-02 07:00:00,1061854.5192279255
2018-02-02 08:00:00,1138138.0289338161
2018-02-02 09:00:00,1213555.5527516622
2018-02-02 10:00:00,1246165.3108538508
2018-02-02 11:00:00,1250213.9199137788
2018-02-02 12:00:00,1259748.9334702317
2018-02-02 13:00:00,1251793.4897620585
2018-02-02 14:00:00,1259973.2331163082
2018-02-02 15:00:00,1265848.9522946652
2018-02-02 16:00:00,1258890.9556380967
2018-02-02 17:00:00,1240979.9081468913
2018-02-02 18:00:00,1211946.4532351652
2018-02-02 19:00:00,1173499.5334315088
2018-02-02 20:00:00,1137385.3163216673
2018-02-02 21:00:00,1106081.14184563
2018-02-02 22:00:00,1075249.5166370887
2018-02-02 23:00:00,1045485.6349964195
2018-02-03 00:00:00,1015649.7279477017
2018-02-03 01:00:00,998791.6593207546
2018-02-03 02:00:00,987282.8746202398
2018-02-03 03:00:00,973750.0005845441
2018-02-03 04:00:00,964663.1148767738
2018-02-03 05:00:00,972541.9896206553
2018-02-03 06:00:00,978765.5064250767
2018-02-03 07:00:00,999332.1402195818
2018-02-03 08:00:00,1048579.6288746502
2018-02-03 09:00:00,1116195.8695041693
2018-02-03 10:00:00,1174568.5480107507
2018-02-03 11:00:00,1189478.666940143
2018-02-03 12:00:00,1185753.8755860701
2018-02-03 13:00:00,1186316.4845459468
2018-02-03 14:00:00,1183954.7499138012
2018-02-03 15:00:00,1173745.9018958095
2018-02-03 16:00:00,1170405.6986371563
2018-02-03 17:00:00,1159192.2328986644
2018-02-03 18:00:00,1155702.3418265174
2018-02-03 19:00:00,1136240.6187105419
2018-02-03 20:00:00,1110049.1141170436
2018-02-03 21:00:00,1084206.0157215819
2018-02-03 22:00:00,1060577.1332326555
2018-02-03 23:00:00,1034678.1459817573
2018-02-04 00:00:00,1011819.8752737514
2018-02-04 01:00:00,1000717.3171144596
2018-02-04 02:00:00,980032.4133570315
2018-02-04 03:00:00,969662.4979309316
