Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-01-06 12:00:00,1122382.1466863737,1131935.876463068,1118639.0795781931,1117169.7645206635,1066094.626654546,1085763.0718317057,1111074.2059666328,1108631.8776540693
2019-01-06 13:00:00,1113456.0499084399,1128357.6792407497,1113884.1937432166,1113751.9071409125,1059884.6600851503,1072094.4957839625,1101285.342254139,1101010.5906286791
2019-01-06 14:00:00,1110737.6082812506,1129274.3357852274,1115063.8233625004,1116737.4575442907,1061118.6655221065,1069105.4738877988,1099196.5724660284,1100376.6572269367
2019-01-06 15:00:00,1112709.4006087054,1134563.476412421,1120696.0991246717,1123363.6304944656,1066279.7352254647,1070184.7735178277,1101871.8723634016,1102870.2087276482
2019-01-06 16:00:00,1108631.674239171,1136794.6319414552,1121304.2350157197,1122538.4582447566,1063430.3861769584,1058200.2092493305,1097575.5867875281,1097433.469908001
2019-01-06 17:00:00,1096972.9509841315,1129037.9393495864,1109205.405549989,1106339.3791879886,1044762.9250194175,1033347.4968646927,1081950.7725606132,1077602.8900074582
2019-01-06 18:00:00,1076103.6415239556,1110413.6431003483,1084848.1057014882,1076912.6260896947,1013442.3992625434,997431.6221041544,1054446.4107037105,1043457.620452891
2019-01-06 19:00:00,1048524.569156381,1085278.5750721102,1054932.0775345224,1043460.6562283408,979562.2750786566,959120.8356978524,1020567.505231838,1005544.2093197096
2019-01-06 20:00:00,1018899.41664704,1058414.4443016164,1025723.890343257,1013728.1367841024,950716.6259308123,925204.8840239709,987762.1081842319,971158.628065616
2019-01-06 21:00:00,987101.0456266201,1031749.2659518338,998799.5425286101,988796.654365622,926920.6552195017,892651.9819440282,953770.1459593447,941767.2749852068
2019-01-06 22:00:00,952874.9610371888,1005405.2582324744,972750.8577214302,965426.3672268174,903954.2947127847,857020.823003784,922041.5403062775,911223.5786241603
2019-01-06 23:00:00,923658.35835193,980719.9291660327,947687.1059183718,942040.3022133274,880185.490384737,827273.7468119581,891671.6388790775,880892.0699505936
2019-01-07 00:00:00,1027852.8943679996,985895.5883099113,944222.1455409264,933409.3170772404,869172.554374944,948681.7700079881,993720.1717941595,995025.033009917
2019-01-07 01:00:00,1005346.6603577611,973438.9625002658,930533.9241039285,918694.768104838,854569.6889210818,924546.6888039694,973344.8171630212,972315.6317877651
2019-01-07 02:00:00,994560.1069472493,967658.7299386133,923809.2074078313,910184.1312894064,846488.7128971862,910485.5690299596,962196.6737238539,957595.2824234074
2019-01-07 03:00:00,987450.5820990173,965520.6752622213,920909.3435782278,904946.031926227,841329.7912009307,892585.1903140495,956832.4291396418,942625.5548722094
2019-01-07 04:00:00,984700.1897053459,966521.9192341365,921364.5911764768,902980.1893094669,839029.5085968925,885966.3545841535,951051.3016211337,938823.5045505386
2019-01-07 05:00:00,994615.8439954176,976342.6407979295,931687.9527436537,912044.1930315557,848370.7615685682,889778.8869083993,956987.9713973232,945990.995640171
2019-01-07 06:00:00,1021167.8896656107,1004355.1770962183,962582.9579917793,944484.538499776,883073.9135316899,918726.0893503838,988178.4584183751,972495.7626748848
2019-01-07 07:00:00,1066038.9195022709,1055568.324608376,1019640.2437082012,1006692.1285204396,949854.3770994759,970329.0039780552,1034622.910484269,1029434.3181501038
2019-01-07 08:00:00,1132970.8770614143,1123607.7481430466,1095295.5484361695,1090062.4616091943,1038669.5474026238,1060777.3371180587,1105211.2156193166,1112673.6955350619
2019-01-07 09:00:00,1196444.2385573897,1191661.7101449096,1170169.451152178,1172702.8718615174,1125213.6689437772,1145875.4855772986,1175045.1171901145,1192237.6445115544
2019-01-07 10:00:00,1242390.2044733288,1241935.753680881,1224258.5778211367,1232280.9103795248,1185489.3689891426,1206651.5656046455,1224837.0925925057,1248434.145979464
2019-01-07 11:00:00,1262170.7630746942,1266597.3853312235,1249525.64170405,1260201.9999866118,1211164.0491149228,1233745.6815863994,1247025.1423215338,1271940.1316477791
2019-01-07 12:00:00,1261644.8899530899,1271487.3070621898,1253656.1854453469,1265460.8630726011,1213033.0188201729,1232206.9340225735,1246406.453328077,1272855.1678056407
